2025/02/07 - 19:25:29 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:25:29 | 401 |     1.0475ms |                 ::1 | POST    /api/login
2025/02/07 - 19:25:32 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:25:32 | 401 |     1.0492ms |                 ::1 | POST    /api/login
2025/02/07 - 19:25:35 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:25:35 | 401 |     1.0567ms |                 ::1 | POST    /api/login
2025/02/07 - 19:26:53 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:26:53 | 401 |     1.0522ms |                 ::1 | POST    /api/login
2025/02/07 - 19:26:55 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:26:55 | 401 |     1.0517ms |                 ::1 | POST    /api/login
2025/02/07 - 19:27:15 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:27:15 | 401 |     1.0453ms |                 ::1 | POST    /api/login
2025/02/07 - 19:27:19 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:27:19 | 401 |      1.029ms |                 ::1 | POST    /api/login
2025/02/07 - 19:27:21 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:27:21 | 401 |     1.0456ms |                 ::1 | POST    /api/login
2025/02/07 - 19:29:17 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:29:17 | 401 |     1.5785ms |                 ::1 | POST    /api/login
2025/02/07 - 19:29:45 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:29:45 | 200 |    51.4852ms |                 ::1 | POST    /api/login
2025/02/07 - 19:30:53 | 200 |      505.6µs |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:30:53 | 200 |    50.2441ms |                 ::1 | POST    /api/login
2025/02/07 - 19:31:01 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:31:01 | 401 |     1.0541ms |                 ::1 | POST    /api/login
2025/02/07 - 19:31:10 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:31:10 | 401 |     1.0509ms |                 ::1 | POST    /api/login
2025/02/07 - 19:31:10 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:31:10 | 401 |     1.0749ms |                 ::1 | POST    /api/login
2025/02/07 - 19:31:11 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:31:11 | 401 |      1.115ms |                 ::1 | POST    /api/login
2025/02/07 - 19:31:12 | 200 |           0s |                 ::1 | OPTIONS /api/login
2025/02/07 - 19:31:12 | 401 |     1.0512ms |                 ::1 | POST    /api/login
